timestamp,event_type,user,source_ip,target,severity,is_anomaly,anomaly_type
2026-02-01 01:39:36,ssh_logout,mkurdi,-,-,INFO,False,-
2026-02-01 02:19:36,port_connection,-,10.0.1.53,port:80,INFO,False,-
2026-02-01 02:34:03,file_access,agarcia,-,/tmp/data.csv,INFO,False,-
2026-02-01 02:59:23,auth_success,agarcia,10.0.1.51,-,INFO,False,-
2026-02-01 03:13:14,auth_success,bwilson,10.0.1.54,-,INFO,False,-
2026-02-01 03:20:25,auth_success,agarcia,10.0.1.50,-,INFO,False,-
2026-02-01 03:21:04,auth_success,bwilson,10.0.1.51,-,INFO,False,-
2026-02-01 03:41:27,auth_success,jsmith,10.0.1.53,-,INFO,False,-
2026-02-01 03:56:16,service_start,-,-,-,INFO,False,-
2026-02-01 04:01:15,file_access,jsmith,-,/home/user/report.pdf,INFO,False,-
2026-02-01 05:21:49,auth_success,jsmith,10.0.1.52,-,INFO,False,-
2026-02-01 05:27:00,file_access,bwilson,-,/tmp/data.csv,INFO,False,-
2026-02-01 05:30:32,auth_success,bwilson,10.0.1.51,-,INFO,False,-
2026-02-01 06:42:14,port_connection,-,10.0.1.50,port:22,INFO,False,-
2026-02-01 07:25:46,auth_success,agarcia,10.0.1.50,-,INFO,False,-
2026-02-01 07:27:10,service_start,-,-,-,INFO,False,-
2026-02-01 07:44:53,file_access,jsmith,-,/var/www/html/index.html,INFO,False,-
2026-02-01 07:47:17,auth_success,jsmith,10.0.1.51,-,INFO,False,-
2026-02-01 07:47:57,file_access,bwilson,-,/home/user/report.pdf,INFO,False,-
2026-02-01 07:54:22,port_connection,-,10.0.1.52,port:3306,INFO,False,-
2026-02-01 08:10:50,auth_success,tchang,10.0.1.54,-,INFO,False,-
2026-02-01 08:14:04,file_access,agarcia,-,/home/user/report.pdf,INFO,False,-
2026-02-01 08:28:08,auth_success,tchang,10.0.1.51,-,INFO,False,-
2026-02-01 08:31:30,port_connection,-,10.0.1.53,port:80,INFO,False,-
2026-02-01 08:41:19,port_connection,-,10.0.1.52,port:22,INFO,False,-
2026-02-01 08:41:44,auth_success,bwilson,10.0.1.53,-,INFO,False,-
2026-02-01 08:42:07,ssh_logout,bwilson,-,-,INFO,False,-
2026-02-01 08:44:24,auth_success,tchang,10.0.1.53,-,INFO,False,-
2026-02-01 08:49:59,file_access,bwilson,-,/var/www/html/index.html,INFO,False,-
2026-02-01 09:03:37,file_access,bwilson,-,/home/user/report.pdf,INFO,False,-
2026-02-01 09:06:22,service_start,-,-,-,INFO,False,-
2026-02-01 09:06:38,file_access,tchang,-,/var/www/html/index.html,INFO,False,-
2026-02-01 09:13:48,auth_success,agarcia,10.0.1.50,-,INFO,False,-
2026-02-01 09:17:44,file_access,mkurdi,-,/tmp/data.csv,INFO,False,-
2026-02-01 09:19:25,port_connection,-,10.0.1.53,port:3306,INFO,False,-
2026-02-01 09:20:13,auth_failure,tchang,10.0.1.52,-,INFO,False,-
2026-02-01 09:23:10,service_start,-,-,-,INFO,False,-
2026-02-01 09:28:04,auth_success,agarcia,10.0.1.51,-,INFO,False,-
2026-02-01 09:28:15,file_access,tchang,-,/var/www/html/index.html,INFO,False,-
2026-02-01 09:28:53,file_access,bwilson,-,/tmp/data.csv,INFO,False,-
2026-02-01 09:38:13,file_access,agarcia,-,/var/www/html/index.html,INFO,False,-
2026-02-01 09:41:32,auth_failure,tchang,10.0.1.54,-,INFO,False,-
2026-02-01 09:59:04,auth_success,tchang,10.0.1.54,-,INFO,False,-
2026-02-01 10:08:32,file_access,tchang,-,/home/user/report.pdf,INFO,False,-
2026-02-01 10:16:21,file_access,agarcia,-,/var/www/html/index.html,INFO,False,-
2026-02-01 10:31:54,ssh_logout,agarcia,-,-,INFO,False,-
2026-02-01 10:34:05,auth_success,jsmith,10.0.1.51,-,INFO,False,-
2026-02-01 10:35:09,auth_success,tchang,10.0.1.51,-,INFO,False,-
2026-02-01 10:59:50,auth_success,mkurdi,10.0.1.52,-,INFO,False,-
2026-02-01 11:01:24,file_access,agarcia,-,/var/www/html/index.html,INFO,False,-
2026-02-01 11:24:16,ssh_login,tchang,10.0.1.52,-,INFO,False,-
2026-02-01 11:24:43,ssh_logout,jsmith,-,-,INFO,False,-
2026-02-01 11:27:26,file_access,tchang,-,/tmp/data.csv,INFO,False,-
2026-02-01 11:29:33,port_connection,-,10.0.1.54,port:22,INFO,False,-
2026-02-01 11:29:40,ssh_login,agarcia,10.0.1.51,-,INFO,False,-
2026-02-01 11:32:07,auth_success,tchang,10.0.1.54,-,INFO,False,-
2026-02-01 11:45:27,auth_success,bwilson,10.0.1.50,-,INFO,False,-
2026-02-01 11:46:37,port_connection,-,10.0.1.52,port:22,INFO,False,-
2026-02-01 11:48:15,ssh_logout,agarcia,-,-,INFO,False,-
2026-02-01 11:53:00,auth_success,agarcia,10.0.1.52,-,INFO,False,-
2026-02-01 11:58:35,file_access,tchang,-,/var/www/html/index.html,INFO,False,-
2026-02-01 12:08:08,auth_success,tchang,10.0.1.54,-,INFO,False,-
2026-02-01 12:08:59,port_connection,-,10.0.1.50,port:443,INFO,False,-
2026-02-01 12:16:57,file_access,mkurdi,-,/var/www/html/index.html,INFO,False,-
2026-02-01 12:26:03,ssh_login,jsmith,10.0.1.53,-,INFO,False,-
2026-02-01 12:34:08,ssh_logout,bwilson,-,-,INFO,False,-
2026-02-01 12:38:27,file_access,jsmith,-,/tmp/data.csv,INFO,False,-
2026-02-01 12:41:17,file_access,bwilson,-,/var/www/html/index.html,INFO,False,-
2026-02-01 12:42:23,file_access,mkurdi,-,/home/user/report.pdf,INFO,False,-
2026-02-01 12:42:52,port_connection,-,10.0.1.52,port:22,INFO,False,-
2026-02-01 12:54:11,auth_success,mkurdi,10.0.1.54,-,INFO,False,-
2026-02-01 12:59:24,auth_success,mkurdi,10.0.1.54,-,INFO,False,-
2026-02-01 13:00:04,auth_success,mkurdi,10.0.1.51,-,INFO,False,-
2026-02-01 13:26:42,ssh_logout,bwilson,-,-,INFO,False,-
2026-02-01 13:48:57,port_connection,-,10.0.1.54,port:8080,INFO,False,-
2026-02-01 13:49:04,port_connection,-,10.0.1.53,port:8080,INFO,False,-
2026-02-01 13:51:55,file_access,mkurdi,-,/var/www/html/index.html,INFO,False,-
2026-02-01 13:56:55,auth_success,agarcia,10.0.1.54,-,INFO,False,-
2026-02-01 14:00:57,auth_success,mkurdi,10.0.1.53,-,INFO,False,-
2026-02-01 14:07:43,file_access,bwilson,-,/var/www/html/index.html,INFO,False,-
2026-02-01 14:20:25,auth_success,agarcia,10.0.1.54,-,INFO,False,-
2026-02-01 14:24:55,auth_success,mkurdi,10.0.1.53,-,INFO,False,-
2026-02-01 14:25:21,service_start,-,-,-,INFO,False,-
2026-02-01 14:32:30,auth_success,jsmith,10.0.1.50,-,INFO,False,-
2026-02-01 14:34:53,port_connection,-,10.0.1.50,port:80,INFO,False,-
2026-02-01 14:35:14,auth_success,agarcia,10.0.1.50,-,INFO,False,-
2026-02-01 14:39:21,file_access,mkurdi,-,/home/user/report.pdf,INFO,False,-
2026-02-01 14:45:13,ssh_login,mkurdi,10.0.1.53,-,INFO,False,-
2026-02-01 14:49:52,auth_success,jsmith,10.0.1.52,-,INFO,False,-
2026-02-01 14:53:29,auth_success,jsmith,10.0.1.53,-,INFO,False,-
2026-02-01 15:09:01,service_start,-,-,-,INFO,False,-
2026-02-01 15:10:29,service_start,-,-,-,INFO,False,-
2026-02-01 15:12:23,service_start,-,-,-,INFO,False,-
2026-02-01 15:26:51,auth_success,jsmith,10.0.1.52,-,INFO,False,-
2026-02-01 15:34:16,port_connection,-,10.0.1.53,port:3306,INFO,False,-
2026-02-01 15:38:41,ssh_login,agarcia,10.0.1.53,-,INFO,False,-
2026-02-01 15:44:01,ssh_logout,bwilson,-,-,INFO,False,-
2026-02-01 15:44:33,ssh_logout,tchang,-,-,INFO,False,-
2026-02-01 15:51:26,auth_success,jsmith,10.0.1.50,-,INFO,False,-
2026-02-01 15:51:38,auth_success,jsmith,10.0.1.53,-,INFO,False,-
2026-02-01 15:59:59,service_start,-,-,-,INFO,False,-
2026-02-01 16:05:05,service_start,-,-,-,INFO,False,-
2026-02-01 16:16:32,port_connection,-,10.0.1.54,port:443,INFO,False,-
2026-02-01 16:25:07,file_access,bwilson,-,/home/user/report.pdf,INFO,False,-
2026-02-01 16:29:22,auth_success,agarcia,10.0.1.51,-,INFO,False,-
2026-02-01 16:32:38,ssh_login,jsmith,10.0.1.51,-,INFO,False,-
2026-02-01 16:38:51,file_access,mkurdi,-,/var/www/html/index.html,INFO,False,-
2026-02-01 16:52:31,service_start,-,-,-,INFO,False,-
2026-02-01 16:56:26,file_access,mkurdi,-,/var/www/html/index.html,INFO,False,-
2026-02-01 17:07:29,file_access,jsmith,-,/tmp/data.csv,INFO,False,-
2026-02-01 17:17:48,port_connection,-,10.0.1.52,port:3306,INFO,False,-
2026-02-01 17:39:20,ssh_logout,mkurdi,-,-,INFO,False,-
2026-02-01 17:39:34,file_access,mkurdi,-,/tmp/data.csv,INFO,False,-
2026-02-01 17:41:29,auth_success,jsmith,10.0.1.52,-,INFO,False,-
2026-02-01 18:08:16,file_access,mkurdi,-,/home/user/report.pdf,INFO,False,-
2026-02-01 18:13:42,auth_success,agarcia,10.0.1.51,-,INFO,False,-
2026-02-01 18:19:48,ssh_logout,tchang,-,-,INFO,False,-
